# git=04eb6e8-dirty  tag=phase1  date=2026-05-17T06:47:39Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,alloc,baseline,10000,1,0,0,0.03,0.00,0.00,2277376,1688320,18601753,8211298
micro,alloc,baseline,10000,2,0,0,0.00,0.00,0.00,2277376,1688320,17133515,6309810
micro,alloc,baseline,10000,3,0,0,0.00,0.00,0.00,2277376,1688320,17118203,6772823
micro,alloc,jit,10000,1,0,0,0.03,0.00,0.00,2342912,1688320,19002000,8293196
micro,alloc,jit,10000,2,0,0,0.00,0.00,0.00,2342912,1688320,17216046,6256915
micro,alloc,jit,10000,3,0,0,0.00,0.00,0.00,2342912,1688320,17240814,7145540
micro,alloc,baseline,100000,1,0,0,0.00,0.00,0.00,2637824,2048768,23006967,8797657
micro,alloc,baseline,100000,2,0,0,0.00,0.00,0.00,2637824,2048768,23062121,8589802
micro,alloc,baseline,100000,3,0,0,0.00,0.00,0.00,2637824,2048768,23008349,8594600
micro,alloc,jit,100000,1,0,0,0.00,0.00,0.00,2703360,2048768,23162674,8738924
micro,alloc,jit,100000,2,0,0,0.00,0.00,0.00,2703360,2048768,23183558,9383031
micro,alloc,jit,100000,3,0,0,0.00,0.00,0.00,2703360,2048768,23116087,8443537
micro,alloc,baseline,1000000,1,0,7,0.01,0.00,0.00,6242304,5669696,81634878,31335550
micro,alloc,baseline,1000000,2,0,7,0.01,0.00,0.00,6242304,5653248,81640239,31070215
micro,alloc,baseline,1000000,3,0,7,0.01,0.00,0.00,6324224,5735168,81695166,31549942
micro,alloc,jit,1000000,1,0,7,0.01,0.00,0.00,6307840,5653248,81732229,30823971
micro,alloc,jit,1000000,2,0,7,0.01,0.00,0.00,6307840,5653248,81761565,30795323
micro,alloc,jit,1000000,3,0,7,0.01,0.00,0.00,6307840,5653248,81771501,31377108
micro,dot,baseline,10000,1,0,0,0.00,0.00,0.00,2408448,1786624,18160991,7890012
micro,dot,baseline,10000,2,0,0,0.00,0.00,0.00,2408448,1786624,17966172,6780556
micro,dot,baseline,10000,3,0,0,0.00,0.00,0.00,2408448,1786624,17955400,6629484
micro,dot,jit,10000,1,0,0,0.00,0.00,0.00,2473984,1803072,18136398,7418433
micro,dot,jit,10000,2,0,0,0.00,0.00,0.00,2473984,1803072,18073884,6684866
micro,dot,jit,10000,3,0,0,0.00,0.00,0.00,2473984,1786624,18069834,6689811
micro,dot,baseline,100000,1,0,1,0.00,0.00,0.00,3489792,2867968,30023240,12278339
micro,dot,baseline,100000,2,0,1,0.00,0.00,0.00,3489792,2884416,30022258,11690170
micro,dot,baseline,100000,3,0,1,0.00,0.00,0.00,3489792,2884416,30021496,11754353
micro,dot,jit,100000,1,0,1,0.00,0.00,0.00,3555328,2867968,30141819,11872231
micro,dot,jit,100000,2,0,1,0.00,0.00,0.00,3555328,2867968,30137662,11939960
micro,dot,jit,100000,3,0,1,0.00,0.00,0.00,3555328,2867968,30145458,11929617
micro,dot,baseline,1000000,1,0,15,0.02,0.01,0.00,14303232,13681408,151088592,63730969
micro,dot,baseline,1000000,2,0,15,0.02,0.01,0.00,14303232,13681408,151276681,62938794
micro,dot,baseline,1000000,3,0,15,0.02,0.01,0.00,14303232,13697856,151172929,63166479
micro,dot,jit,1000000,1,0,16,0.02,0.01,0.00,14368768,13681408,151636444,63484175
micro,dot,jit,1000000,2,0,16,0.02,0.01,0.00,14368768,13697856,151657537,64085940
micro,dot,jit,1000000,3,0,16,0.02,0.01,0.00,14368768,13681408,151302321,63910895
micro,each_sq,baseline,10000,1,0,0,0.00,0.00,0.00,2490368,1901312,23119959,7273900
micro,each_sq,baseline,10000,2,0,0,0.00,0.00,0.00,2490368,1901312,23036501,7823406
micro,each_sq,baseline,10000,3,0,0,0.00,0.00,0.00,2490368,1901312,23001198,7388783
micro,each_sq,jit,10000,1,0,0,0.00,0.00,0.00,2605056,1917696,21548572,6848482
micro,each_sq,jit,10000,2,0,0,0.00,0.00,0.00,2605056,1917696,21507501,6820023
micro,each_sq,jit,10000,3,0,0,0.00,0.00,0.00,2605056,1917696,21502560,7060728
micro,each_sq,baseline,100000,1,0,3,0.00,0.00,0.00,4653056,4064000,82401932,18597020
micro,each_sq,baseline,100000,2,0,4,0.00,0.00,0.00,4653056,4064000,82399407,18963612
micro,each_sq,baseline,100000,3,0,3,0.00,0.00,0.00,4653056,4064000,82402572,18941588
micro,each_sq,jit,100000,1,0,2,0.00,0.00,0.00,4767744,4080384,66222424,14722686
micro,each_sq,jit,100000,2,0,2,0.00,0.00,0.00,4767744,4080384,66245181,14748962
micro,each_sq,jit,100000,3,0,2,0.00,0.00,0.00,4767744,4080384,66240510,14899820
micro,each_sq,baseline,1000000,1,0,39,0.04,0.03,0.00,26263552,25707392,676948134,132526046
micro,each_sq,baseline,1000000,2,0,39,0.04,0.03,0.00,26263552,25707392,677124720,132552311
micro,each_sq,baseline,1000000,3,0,39,0.04,0.03,0.00,26263552,25690944,677278841,132739911
micro,each_sq,jit,1000000,1,0,27,0.02,0.02,0.00,26378240,25707328,514192041,93609798
micro,each_sq,jit,1000000,2,0,27,0.02,0.02,0.00,26378240,25707328,514031303,93312357
micro,each_sq,jit,1000000,3,0,27,0.03,0.02,0.00,26378240,25707328,513938819,94158424
micro,exp_vec,baseline,10000,1,0,0,0.00,0.00,0.00,2326528,1704704,20841688,7413507
micro,exp_vec,baseline,10000,2,0,0,0.00,0.00,0.00,2326528,1704704,20689445,6978781
micro,exp_vec,baseline,10000,3,0,0,0.00,0.00,0.00,2326528,1704704,20709231,7748845
micro,exp_vec,jit,10000,1,0,0,0.00,0.00,0.00,2392064,1704704,20841693,7341975
micro,exp_vec,jit,10000,2,0,0,0.00,0.00,0.00,2392064,1704704,20835295,7253762
micro,exp_vec,jit,10000,3,0,0,0.00,0.00,0.00,2392064,1704704,20813716,7121573
micro,exp_vec,baseline,100000,1,0,3,0.00,0.00,0.00,3047424,2425600,54964547,15838828
micro,exp_vec,baseline,100000,2,0,3,0.00,0.00,0.00,3047424,2425600,54940862,15702285
micro,exp_vec,baseline,100000,3,0,3,0.00,0.00,0.00,3047424,2425600,54944513,15589401
micro,exp_vec,jit,100000,1,0,2,0.00,0.00,0.00,3112960,2425600,55053053,15597077
micro,exp_vec,jit,100000,2,0,3,0.00,0.00,0.00,3112960,2442048,55055487,15826452
micro,exp_vec,jit,100000,3,0,3,0.00,0.00,0.00,3112960,2425600,55095087,16514324
micro,exp_vec,baseline,1000000,1,0,30,0.03,0.02,0.00,10256384,9651008,398454663,102448755
micro,exp_vec,baseline,1000000,2,0,30,0.03,0.02,0.00,10256384,9634560,398089404,101742948
micro,exp_vec,baseline,1000000,3,0,29,0.03,0.02,0.00,10256384,9634560,397713327,101994622
micro,exp_vec,jit,1000000,1,0,29,0.03,0.02,0.00,10321920,9651008,398571632,101747895
micro,exp_vec,jit,1000000,2,0,31,0.03,0.02,0.00,10321920,9634560,398727173,104057623
micro,exp_vec,jit,1000000,3,0,30,0.03,0.02,0.00,10321920,9634560,399021035,103723934
micro,group,baseline,10000,1,0,1,0.00,0.00,0.00,2670592,2032384,38125089,9915251
micro,group,baseline,10000,2,0,1,0.00,0.00,0.00,2670592,2032384,37940028,9306832
micro,group,baseline,10000,3,0,1,0.00,0.00,0.00,2670592,2048832,37936659,9330230
micro,group,jit,10000,1,0,1,0.00,0.00,0.00,2768896,2048832,38245048,10541899
micro,group,jit,10000,2,0,1,0.00,0.00,0.00,2768896,2032384,38172172,10078792
micro,group,jit,10000,3,0,1,0.00,0.00,0.00,2768896,2032384,38076272,9759035
micro,group,baseline,100000,1,0,10,0.01,0.01,0.00,5439488,4801280,226369109,40241447
micro,group,baseline,100000,2,0,10,0.01,0.01,0.00,5439488,4817728,226318476,39462446
micro,group,baseline,100000,3,0,10,0.01,0.01,0.00,5439488,4801280,226317171,40113875
micro,group,jit,100000,1,0,10,0.01,0.01,0.00,5537792,4817728,226433498,39728627
micro,group,jit,100000,2,0,10,0.01,0.01,0.00,5537792,4801280,226450016,39720120
micro,group,jit,100000,3,0,11,0.01,0.01,0.00,5537792,4801280,226595353,40331163
micro,group,baseline,1000000,1,0,104,0.10,0.09,0.01,28016640,27427776,2105637389,341534477
micro,group,baseline,1000000,2,0,107,0.11,0.09,0.01,28016640,27411328,2105110450,350109043
micro,group,baseline,1000000,3,0,105,0.10,0.09,0.01,28016640,27411328,2105494751,342666889
micro,group,jit,1000000,1,0,104,0.10,0.09,0.01,28114944,27411328,2104997122,340758633
micro,group,jit,1000000,2,0,105,0.10,0.09,0.01,28114944,27411328,2104541360,340999177
micro,group,jit,1000000,3,0,105,0.10,0.09,0.01,28114944,27411328,2105196945,341121486
micro,inner_sq,baseline,10000,1,0,0,0.00,0.00,0.00,2392064,1786624,19787676,7533317
micro,inner_sq,baseline,10000,2,0,0,0.00,0.00,0.00,2392064,1786624,19665241,7045987
micro,inner_sq,baseline,10000,3,0,0,0.00,0.00,0.00,2392064,1786624,19665471,7275231
micro,inner_sq,jit,10000,1,0,0,0.00,0.00,0.00,2473984,1786624,19788139,7647312
micro,inner_sq,jit,10000,2,0,0,0.00,0.00,0.00,2473984,1803072,19786991,7549824
micro,inner_sq,jit,10000,3,0,0,0.00,0.00,0.00,2473984,1786624,19801516,7557080
micro,inner_sq,baseline,100000,1,0,3,0.00,0.00,0.00,3473408,2884416,42663900,16528172
micro,inner_sq,baseline,100000,2,0,3,0.00,0.00,0.00,3473408,2867968,42658992,15707539
micro,inner_sq,baseline,100000,3,0,3,0.00,0.00,0.00,3473408,2867968,42677975,15918224
micro,inner_sq,jit,100000,1,0,2,0.00,0.00,0.00,3555328,2867968,42784399,15720918
micro,inner_sq,jit,100000,2,0,3,0.00,0.00,0.00,3555328,2867968,42812534,16357038
micro,inner_sq,jit,100000,3,0,3,0.00,0.00,0.00,3555328,2867968,42795376,15824964
micro,inner_sq,baseline,1000000,1,0,30,0.03,0.02,0.00,14286848,13681408,275315075,103039386
micro,inner_sq,baseline,1000000,2,0,29,0.03,0.02,0.00,14483456,13910912,274441607,103579737
micro,inner_sq,baseline,1000000,3,0,30,0.03,0.02,0.00,14286848,13697856,275461607,103130349
micro,inner_sq,jit,1000000,1,0,30,0.03,0.02,0.00,14368768,13681408,274618668,103585359
micro,inner_sq,jit,1000000,2,0,29,0.03,0.02,0.00,14368768,13714304,275093132,101802615
micro,inner_sq,jit,1000000,3,0,29,0.03,0.02,0.00,14368768,13697856,274430522,102242348
micro,max,baseline,10000,1,0,0,0.00,0.00,0.00,2244608,1655552,17484882,6554141
micro,max,baseline,10000,2,0,0,0.00,0.00,0.00,2244608,1655552,17398528,7023892
micro,max,baseline,10000,3,0,0,0.00,0.00,0.00,2244608,1655552,17462420,6899846
micro,max,jit,10000,1,0,0,0.00,0.00,0.00,2310144,1672000,17494432,6600359
micro,max,jit,10000,2,0,0,0.00,0.00,0.00,2310144,1655552,17560134,6431229
micro,max,jit,10000,3,0,0,0.00,0.00,0.00,2310144,1655552,17493629,6265498
micro,max,baseline,100000,1,0,0,0.00,0.00,0.00,2605056,2016000,23271867,8810498
micro,max,baseline,100000,2,0,0,0.00,0.00,0.00,2605056,2016000,23269461,9323349
micro,max,baseline,100000,3,0,0,0.00,0.00,0.00,2605056,2016000,23252298,8852217
micro,max,jit,100000,1,0,0,0.00,0.00,0.00,2670592,2016000,23361106,8610809
micro,max,jit,100000,2,0,0,0.00,0.00,0.00,2670592,2016000,23392502,8768791
micro,max,jit,100000,3,0,0,0.00,0.00,0.00,2670592,2016000,23406377,8793799
micro,max,baseline,1000000,1,0,8,0.01,0.00,0.00,6209536,5620480,82043482,31873183
micro,max,baseline,1000000,2,0,8,0.01,0.00,0.00,6209536,5636928,81909674,31778712
micro,max,baseline,1000000,3,0,8,0.01,0.00,0.00,6209536,5636928,81939423,31682254
micro,max,jit,1000000,1,0,7,0.01,0.00,0.00,6275072,5620480,82039339,30767399
micro,max,jit,1000000,2,0,8,0.01,0.00,0.00,6275072,5620480,81985663,31662619
micro,max,jit,1000000,3,0,7,0.01,0.00,0.00,6275072,5620480,82007089,31727366
micro,outer,baseline,10000,1,0,0,0.00,0.00,0.00,2277376,1688384,16588434,5949927
micro,outer,baseline,10000,2,0,0,0.00,0.00,0.00,2277376,1688384,16479492,6265917
micro,outer,baseline,10000,3,0,0,0.00,0.00,0.00,2277376,1671936,16491020,6538228
micro,outer,jit,10000,1,0,0,0.00,0.00,0.00,2342912,1688384,16611470,6033365
micro,outer,jit,10000,2,0,0,0.00,0.00,0.00,2342912,1671936,16598373,6498926
micro,outer,jit,10000,3,0,0,0.00,0.00,0.00,2342912,1671936,16597583,6187174
micro,outer,baseline,100000,1,0,0,0.00,0.00,0.00,2277376,1671936,16485432,5983824
micro,outer,baseline,100000,2,0,0,0.00,0.00,0.00,2277376,1671936,16476925,6400016
