# git=6d1c809-dirty  tag=phase0  date=2026-05-17T06:22:22Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,alloc,baseline,10000,1,0,0,0.17,0.00,0.00,2277376,1688320,18713386,7792710
micro,alloc,baseline,10000,2,0,0,0.00,0.00,0.00,2277376,1688320,17225333,6519882
micro,alloc,baseline,10000,3,0,0,0.00,0.00,0.00,2277376,1688320,17315599,7058694
micro,alloc,jit,10000,1,0,0,0.14,0.00,0.00,2342912,1688320,18891829,8688726
micro,alloc,jit,10000,2,0,0,0.00,0.00,0.00,2342912,1704768,17300967,6362943
micro,alloc,jit,10000,3,0,0,0.00,0.00,0.00,2342912,1688320,17299865,6547341
micro,alloc,baseline,100000,1,0,0,0.00,0.00,0.00,2637824,2048768,23328307,9062863
micro,alloc,baseline,100000,2,0,0,0.00,0.00,0.00,2637824,2048768,23068934,8637271
micro,alloc,baseline,100000,3,0,0,0.00,0.00,0.00,2637824,2048768,23180405,9803914
micro,alloc,jit,100000,1,0,0,0.00,0.00,0.00,2703360,2048768,23189334,10162851
micro,alloc,jit,100000,2,0,0,0.00,0.00,0.00,2703360,2048768,23205954,9948802
micro,alloc,jit,100000,3,0,0,0.00,0.00,0.00,2703360,2048768,23171284,8692355
micro,alloc,baseline,1000000,1,0,7,0.01,0.00,0.00,6242304,5653248,81720853,31882475
micro,alloc,baseline,1000000,2,0,7,0.01,0.00,0.00,6242304,5653248,81693117,31534758
micro,alloc,baseline,1000000,3,0,7,0.01,0.00,0.00,6242304,5653248,81695454,31013265
micro,alloc,jit,1000000,1,0,7,0.01,0.00,0.00,6307840,5669696,81915011,31893936
micro,alloc,jit,1000000,2,0,8,0.01,0.00,0.00,6307840,5653248,81924202,32998962
micro,alloc,jit,1000000,3,0,7,0.01,0.00,0.00,6307840,5669696,81781109,31555469
micro,dot,baseline,10000,1,0,0,0.00,0.00,0.00,2408448,1803072,18219351,7078984
micro,dot,baseline,10000,2,0,0,0.00,0.00,0.00,2408448,1803072,18175742,7063953
micro,dot,baseline,10000,3,0,0,0.00,0.00,0.00,2408448,1786624,18024443,6746652
micro,dot,jit,10000,1,0,0,0.00,0.00,0.00,2473984,1803072,18189570,6761710
micro,dot,jit,10000,2,0,0,0.00,0.00,0.00,2473984,1786624,18116848,7388350
micro,dot,jit,10000,3,0,0,0.00,0.00,0.00,2473984,1803072,18240259,7550004
micro,dot,baseline,100000,1,0,1,0.00,0.00,0.00,3489792,2884416,30127590,12247865
micro,dot,baseline,100000,2,0,1,0.00,0.00,0.00,3489792,2867968,30092759,12698566
micro,dot,baseline,100000,3,0,1,0.00,0.00,0.00,3489792,2867968,30116461,12495539
micro,dot,jit,100000,1,0,1,0.00,0.00,0.00,3555328,2867968,30221404,13038137
micro,dot,jit,100000,2,0,1,0.00,0.00,0.00,3555328,2867968,30220696,11903847
micro,dot,jit,100000,3,0,1,0.00,0.00,0.00,3555328,2867968,30257695,12000119
micro,dot,baseline,1000000,1,0,16,0.02,0.01,0.00,14303232,13681408,152025611,64595467
micro,dot,baseline,1000000,2,0,16,0.02,0.01,0.00,14303232,13681408,151575683,66619716
micro,dot,baseline,1000000,3,0,16,0.02,0.01,0.00,14303232,13681408,151526187,66281792
micro,dot,jit,1000000,1,0,16,0.02,0.01,0.00,14450688,13779776,151629660,64802497
micro,dot,jit,1000000,2,0,15,0.02,0.01,0.00,14368768,13681408,151664460,63564576
micro,dot,jit,1000000,3,0,15,0.02,0.01,0.00,14368768,13714304,151508086,64053190
micro,each_sq,baseline,10000,1,0,0,0.00,0.00,0.00,2490368,1917760,23216630,8037313
micro,each_sq,baseline,10000,2,0,0,0.00,0.00,0.00,2490368,1901312,23065177,7551186
micro,each_sq,baseline,10000,3,0,0,0.00,0.00,0.00,2490368,1901312,23058401,8507207
micro,each_sq,jit,10000,1,0,0,0.00,0.00,0.00,2605056,1917696,21736573,8391572
micro,each_sq,jit,10000,2,0,0,0.00,0.00,0.00,2605056,1917696,21566440,7005406
micro,each_sq,jit,10000,3,0,0,0.00,0.00,0.00,2605056,1934144,21680419,7694714
micro,each_sq,baseline,100000,1,0,4,0.00,0.00,0.00,4653056,4064000,82466503,19329055
micro,each_sq,baseline,100000,2,0,3,0.00,0.00,0.00,4653056,4064000,82504877,18926198
micro,each_sq,baseline,100000,3,0,3,0.00,0.00,0.00,4653056,4064000,82500738,18532349
micro,each_sq,jit,100000,1,0,2,0.00,0.00,0.00,4767744,4096832,66329445,14747952
micro,each_sq,jit,100000,2,0,2,0.00,0.00,0.00,4767744,4080384,66326245,14534833
micro,each_sq,jit,100000,3,0,2,0.00,0.00,0.00,4767744,4080384,66266405,14498671
micro,each_sq,baseline,1000000,1,0,40,0.04,0.03,0.00,26263552,25690944,677954908,135519649
micro,each_sq,baseline,1000000,2,0,39,0.04,0.03,0.00,26263552,25690944,677205661,132475847
micro,each_sq,baseline,1000000,3,0,39,0.04,0.03,0.00,26263552,25690944,677453571,132501899
micro,each_sq,jit,1000000,1,0,27,0.03,0.02,0.00,26378240,25707328,514081608,93637237
micro,each_sq,jit,1000000,2,0,27,0.03,0.02,0.00,26378240,25723776,514442233,94288115
