# git=d4f160a  tag=baseline  date=2026-05-17T06:04:00Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,alloc,baseline,10000,1,0,0,0.00,0.00,0.00,2310144,1688320,17401103,6387958
micro,alloc,baseline,10000,2,0,0,0.00,0.00,0.00,2310144,1688320,17506465,7534569
micro,alloc,baseline,10000,3,0,0,0.00,0.00,0.00,2310144,1688320,17153387,7389543
micro,alloc,jit,10000,1,0,0,0.00,0.00,0.00,2326528,1688320,17411036,6776516
micro,alloc,jit,10000,2,0,0,0.00,0.00,0.00,2326528,1688320,17273363,7614503
micro,alloc,jit,10000,3,0,0,0.00,0.00,0.00,2326528,1688320,17245941,6429123
micro,alloc,baseline,100000,1,0,0,0.00,0.00,0.00,2736128,2114304,23077124,8811707
micro,alloc,baseline,100000,2,0,0,0.00,0.00,0.00,2670592,2048768,23004710,9285899
micro,alloc,baseline,100000,3,0,0,0.00,0.00,0.00,2670592,2065216,23872485,10646081
micro,alloc,jit,100000,1,0,0,0.00,0.00,0.00,2686976,2048768,24509974,9716387
micro,alloc,jit,100000,2,0,0,0.00,0.00,0.00,2686976,2065216,23100225,8321129
micro,alloc,jit,100000,3,0,0,0.00,0.00,0.00,2686976,2065216,24364283,9860287
micro,alloc,baseline,1000000,1,0,7,0.01,0.00,0.00,6275072,5669696,81744911,31448463
micro,alloc,baseline,1000000,2,0,7,0.01,0.00,0.00,6275072,5669696,81657630,30614622
micro,alloc,baseline,1000000,3,0,7,0.01,0.00,0.00,6275072,5653248,81638777,31025781
micro,alloc,jit,1000000,1,0,7,0.01,0.00,0.00,6291456,5653248,81715297,30946288
micro,alloc,jit,1000000,2,0,7,0.01,0.00,0.00,6291456,5653248,81793415,30508369
micro,alloc,jit,1000000,3,0,7,0.01,0.00,0.00,6291456,5653248,82220992,32053786
micro,dot,baseline,10000,1,0,0,0.00,0.00,0.00,2441216,1786624,18214128,6990083
micro,dot,baseline,10000,2,0,0,0.00,0.00,0.00,2441216,1786624,17967322,6573576
micro,dot,baseline,10000,3,0,0,0.00,0.00,0.00,2441216,1803072,17997320,6627920
micro,dot,jit,10000,1,0,0,0.00,0.00,0.00,2457600,1786624,18085119,7344719
micro,dot,jit,10000,2,0,0,0.00,0.00,0.00,2457600,1786624,18117049,7194827
micro,dot,jit,10000,3,0,0,0.00,0.00,0.00,2457600,1786624,18104817,8592087
micro,dot,baseline,100000,1,0,1,0.00,0.00,0.00,3522560,2867968,30103847,11677398
micro,dot,baseline,100000,2,0,1,0.00,0.00,0.00,3522560,2867968,30046139,12297209
micro,dot,baseline,100000,3,0,1,0.00,0.00,0.00,3522560,2884416,30073173,12048444
micro,dot,jit,100000,1,0,1,0.00,0.00,0.00,3538944,2867968,30120179,11548323
micro,dot,jit,100000,2,0,1,0.00,0.00,0.00,3538944,2867968,30163500,12520935
micro,dot,jit,100000,3,0,1,0.00,0.00,0.00,3538944,2867968,30157729,12156562
micro,dot,baseline,1000000,1,0,15,0.02,0.01,0.00,14336000,13681408,151500312,63052068
micro,dot,baseline,1000000,2,0,15,0.02,0.01,0.00,14336000,13681408,151353343,63542468
micro,dot,baseline,1000000,3,0,16,0.02,0.01,0.00,14336000,13681408,151701436,63853604
micro,dot,jit,1000000,1,0,15,0.02,0.01,0.00,14352384,13681408,151246063,62741286
micro,dot,jit,1000000,2,0,16,0.02,0.01,0.00,14352384,13681408,151835106,64451497
micro,dot,jit,1000000,3,0,16,0.02,0.01,0.00,14352384,13697856,151651739,64217846
micro,each_sq,baseline,10000,1,0,0,0.00,0.00,0.00,2539520,1917760,22969782,7359542
micro,each_sq,baseline,10000,2,0,0,0.00,0.00,0.00,2539520,1901312,22800849,7176897
micro,each_sq,baseline,10000,3,0,0,0.00,0.00,0.00,2539520,1917760,22821044,7649072
micro,each_sq,jit,10000,1,0,0,0.00,0.00,0.00,2605056,1917696,21416774,7060040
micro,each_sq,jit,10000,2,0,0,0.00,0.00,0.00,2605056,1917696,21441214,6969825
micro,each_sq,jit,10000,3,0,0,0.00,0.00,0.00,2605056,1917696,21406270,7094956
micro,each_sq,baseline,100000,1,0,3,0.00,0.00,0.00,4702208,4080448,80237656,18510004
micro,each_sq,baseline,100000,2,0,3,0.00,0.00,0.00,4702208,4080448,80199304,18048013
micro,each_sq,baseline,100000,3,0,3,0.00,0.00,0.00,4702208,4080448,80254891,19006033
micro,each_sq,jit,100000,1,0,2,0.00,0.00,0.00,4767744,4096832,65217319,14859928
micro,each_sq,jit,100000,2,0,2,0.00,0.00,0.00,4767744,4080384,65288533,14497726
micro,each_sq,jit,100000,3,0,2,0.00,0.00,0.00,4767744,4096832,65244889,14603004
micro,each_sq,baseline,1000000,1,0,37,0.04,0.03,0.00,26312704,25707392,654936732,125622722
micro,each_sq,baseline,1000000,2,0,37,0.04,0.03,0.00,26312704,25690944,655094328,127029196
micro,each_sq,baseline,1000000,3,0,37,0.04,0.03,0.00,26312704,25690944,655030663,126130723
micro,each_sq,jit,1000000,1,0,26,0.03,0.02,0.00,26378240,25707328,503833750,91307455
micro,each_sq,jit,1000000,2,0,26,0.02,0.02,0.00,26378240,25723776,504140539,91693955
micro,each_sq,jit,1000000,3,0,27,0.02,0.02,0.00,26378240,25707328,504129262,91907194
micro,exp_vec,baseline,10000,1,0,0,0.00,0.00,0.00,2359296,1704704,20894121,7769165
micro,exp_vec,baseline,10000,2,0,0,0.00,0.00,0.00,2359296,1704704,20701587,7082191
micro,exp_vec,baseline,10000,3,0,0,0.00,0.00,0.00,2359296,1704704,20812080,7624167
micro,exp_vec,jit,10000,1,0,0,0.00,0.00,0.00,2392064,1704704,20852788,8855313
micro,exp_vec,jit,10000,2,0,0,0.00,0.00,0.00,2392064,1721152,20881197,8164679
micro,exp_vec,jit,10000,3,0,0,0.00,0.00,0.00,2392064,1704704,21145290,7878694
micro,exp_vec,baseline,100000,1,0,3,0.00,0.00,0.00,3080192,2442048,55148439,16837477
micro,exp_vec,baseline,100000,2,0,2,0.00,0.00,0.00,3080192,2442048,55021609,17073880
micro,exp_vec,baseline,100000,3,0,3,0.00,0.00,0.00,3080192,2425600,54976936,16113704
micro,exp_vec,jit,100000,1,0,3,0.00,0.00,0.00,3112960,2425600,55073083,16120813
micro,exp_vec,jit,100000,2,0,3,0.00,0.00,0.00,3276800,2605888,55178011,16272306
