# git=e6bde65-dirty  tag=phase2.2a  date=2026-05-17T13:31:22Z
# sizes=1000000  reps=2  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,alloc,baseline,1000000,1,0,8,0.05,0.00,0.00,6275072,5669632,83383334,32405208
micro,alloc,baseline,1000000,2,0,7,0.01,0.00,0.00,6275072,5669632,81695800,31497387
micro,alloc,jit,1000000,1,0,7,0.04,0.00,0.00,6324224,5669632,83398189,33520397
micro,alloc,jit,1000000,2,0,8,0.01,0.00,0.00,6324224,5669632,82046425,31627561
micro,dot,baseline,1000000,1,0,15,0.02,0.01,0.00,14336000,13697792,151444285,62764535
micro,dot,baseline,1000000,2,0,15,0.02,0.01,0.00,14336000,13697792,151133991,62688341
micro,dot,jit,1000000,1,0,16,0.02,0.01,0.00,14385152,13697792,151813403,63587456
micro,dot,jit,1000000,2,0,15,0.02,0.01,0.00,14385152,13697792,151264186,63461864
micro,each_sq,baseline,1000000,1,0,39,0.04,0.03,0.00,26296320,25707328,677098111,131213469
micro,each_sq,baseline,1000000,2,0,39,0.04,0.03,0.00,26296320,25723776,677002615,133560827
micro,each_sq,jit,1000000,1,0,27,0.03,0.02,0.00,26394624,25723712,514252913,95527202
micro,each_sq,jit,1000000,2,0,27,0.03,0.02,0.00,26394624,25723712,514146471,95792489
micro,exp_vec,baseline,1000000,1,0,30,0.03,0.02,0.00,10289152,9667392,399251035,102380547
micro,exp_vec,baseline,1000000,2,0,30,0.03,0.02,0.00,10289152,9650944,398381929,102323293
micro,exp_vec,jit,1000000,1,0,30,0.03,0.02,0.00,10338304,9667392,399006522,105210848
micro,exp_vec,jit,1000000,2,0,30,0.03,0.02,0.00,10338304,9650944,399268367,103295705
micro,group,baseline,1000000,1,0,105,0.10,0.09,0.01,28049408,27427712,2104909369,344904856
micro,group,baseline,1000000,2,0,104,0.10,0.09,0.01,28049408,27427712,2104979107,340222133
micro,group,jit,1000000,1,0,103,0.10,0.09,0.01,28131328,27427712,2105694495,338712511
micro,group,jit,1000000,2,0,104,0.10,0.09,0.01,28131328,27444160,2105809268,340527566
micro,inner_sq,baseline,1000000,1,0,30,0.03,0.02,0.00,14319616,13697792,276394859,104741767
micro,inner_sq,baseline,1000000,2,0,29,0.03,0.02,0.00,14319616,13697792,273024722,101389428
micro,inner_sq,jit,1000000,1,0,30,0.03,0.02,0.00,14385152,13697792,273891960,104339775
micro,inner_sq,jit,1000000,2,0,31,0.03,0.02,0.00,14385152,13697792,276354475,106855125
micro,max,baseline,1000000,1,0,7,0.01,0.00,0.00,6242304,5653312,82111662,31482508
micro,max,baseline,1000000,2,0,7,0.01,0.00,0.00,6242304,5636864,82000031,30945647
micro,max,jit,1000000,1,0,7,0.01,0.00,0.00,6291456,5653312,82045338,31102875
micro,max,jit,1000000,2,0,7,0.01,0.00,0.00,6291456,5636864,82068077,31128641
micro,outer,baseline,1000000,1,0,0,0.00,0.00,0.00,2310144,1688320,16685452,6404486
micro,outer,baseline,1000000,2,0,0,0.00,0.00,0.00,2310144,1688320,16518655,6057828
micro,outer,jit,1000000,1,0,0,0.00,0.00,0.00,2359296,1704768,16644603,6203707
micro,outer,jit,1000000,2,0,0,0.00,0.00,0.00,2359296,1688320,16629301,6028602
micro,reverse,baseline,1000000,1,0,19,0.02,0.01,0.00,10272768,9650944,183169118,67623818
micro,reverse,baseline,1000000,2,0,18,0.02,0.01,0.00,10272768,9667392,181752608,66269583
micro,reverse,jit,1000000,1,0,18,0.02,0.01,0.00,10305536,9667392,183035765,63626216
micro,reverse,jit,1000000,2,0,19,0.02,0.01,0.00,10305536,9650944,182988418,66994846
micro,scan,baseline,1000000,1,0,26,0.02,0.01,0.00,10256384,9667392,233475549,91130942
micro,scan,baseline,1000000,2,0,26,0.02,0.01,0.00,10256384,9650944,234818656,89634933
micro,scan,jit,1000000,1,0,26,0.02,0.01,0.00,10321920,9667392,233988604,93347737
micro,scan,jit,1000000,2,0,26,0.02,0.01,0.00,10321920,9650944,234846691,90505630
micro,sort,baseline,1000000,1,0,99,0.10,0.08,0.01,22298624,21693248,608672266,322453058
micro,sort,baseline,1000000,2,0,98,0.10,0.08,0.01,22298624,21709696,608101565,322218674
micro,sort,jit,1000000,1,0,98,0.10,0.08,0.01,22331392,21693248,607572455,319489386
micro,sort,jit,1000000,2,0,96,0.09,0.08,0.01,22331392,21709696,607822665,316598479
micro,sqrt_vec,baseline,1000000,1,0,20,0.02,0.01,0.00,10272768,9650944,208599899,71753034
micro,sqrt_vec,baseline,1000000,2,0,20,0.02,0.01,0.00,10272768,9650944,208316325,70958029
micro,sqrt_vec,jit,1000000,1,0,21,0.02,0.01,0.00,10338304,9650944,208905111,73055585
micro,sqrt_vec,jit,1000000,2,0,20,0.02,0.01,0.00,10338304,9667392,207607222,71410498
micro,sum,baseline,1000000,1,0,23,0.02,0.01,0.00,10256384,9667392,198477328,82727536
micro,sum,baseline,1000000,2,0,23,0.02,0.01,0.00,10256384,9650944,197845441,82997365
micro,sum,jit,1000000,1,0,24,0.02,0.01,0.00,10321920,9650944,198159560,85606777
micro,sum,jit,1000000,2,0,24,0.02,0.01,0.00,10321920,9667392,197364032,84017550
strat,mac,baseline,0,1,0,11,0.01,0.00,0.00,3883008,3195712,185170904,57171480
strat,mac,baseline,0,2,0,11,0.01,0.00,0.00,3883008,3195712,184369477,55580696
strat,mac,jit,0,1,132,,0.00,0.00,0.00,3424256,2720512,43455138,18326957
strat,mac,jit,0,2,132,,0.02,0.00,0.00,3424256,2736960,43053667,16632724
strat,rsi,baseline,0,1,139,,0.00,0.00,0.00,20938752,20235072,56139048,23127318
strat,rsi,baseline,0,2,139,,0.00,0.00,0.00,20938752,20235072,55930864,23903999
strat,rsi,jit,0,1,139,,0.02,0.00,0.00,21004288,20235008,56203260,23102382
strat,rsi,jit,0,2,139,,0.00,0.00,0.00,21004288,20251456,56204331,23465248
strat,zscore,baseline,0,1,139,,0.02,0.00,0.00,20938752,20218688,56048633,23546962
strat,zscore,baseline,0,2,139,,0.00,0.00,0.00,20905984,20185920,55809993,22884010
strat,zscore,jit,0,1,132,,0.00,0.00,0.00,3375104,2687744,42571506,17874984
strat,zscore,jit,0,2,139,,0.00,0.00,0.00,20971520,20185856,56048278,23392853
